                                                                    random  random    bkwd   record   stride
                    KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
2013-02-18T12:02:00 64       8  752329 1562436  2662899  3057153 3057153 1879725 1933893  2133730  3022727  1562436  1279447 2662899  3541098
2013-02-18T15:03:00 64       8  477808 1083249  3541098  3958892 3203069 1421755 2379626  1991276  3022727  1526887  1460430 3203069  3791156
2013-02-18T18:03:00 64       8  710511 1255511  3588436  4018152 3203069 1304314 1363961  2006158  2772930  1279447  1392258 2298136  3363612
2013-02-18T21:02:00 64       8  576282  913649  3203069  2923952 2801873 1255511 1828508  1484662  2662899  1357066   998622 2662899  2923952
2013-02-19T00:02:00 64       8  666414 1310683  3791156  2662899 3203069 1363961 1599680  2067979  3203069  1518251  1638743 3057153  3958892
2013-02-19T03:02:00 64       8  528618  874936  2133730  2133730 3022727  852702 1421755  2006158  2133730  1363961   855419 1204796  1183548
2013-02-19T06:02:00 64       8  674790 1304314  4018152  3738358 3203069 1452528 1690338  2006158  3057153  1452528  1452528 3363612  3791156
2013-02-19T09:03:00 64       8  821391 1828508  4018152  4018152 3203069 1484662 2052169  2203800  3057153  1429325   955947 1526887  3363612
2013-02-19T12:02:00 64       8  666414 1734015  2379626  3791156 3203069 1392258 2298136  1421755  3057153   598110   913649 1690338  3791156
2013-02-19T15:03:00 64       8  546928 1690338  3588436  4018152 3203069 2006158 2298136  2203800  3057153  2006158   939223 2203800  1991276
2013-02-19T18:02:00 64       8  780776 1392258  3738358  4018152 3203069 1933893 1828508  2133730  2379626  1357066  1083249 3057153  1599680
2013-02-19T21:02:00 64       8  733819  886494  1599680  4018152 3363612 1460430 2379626  2133730  3022727  1330167  1933893 2892445  3791156
2013-02-20T00:03:00 64       8  500060  855419  3057153  3791156  653436 1002351 1828508  2133730  2467108  1421755   901377 1279447  2923952
2013-02-20T03:03:00 64       8  328238  512471  3791156  3363612 3203069 1421755 1879725  2067979  1330167  1279447  1336792 2892445  1183548
2013-02-20T06:02:00 64       8  477808  831569  2298136  2892445 3203069 1780008 1421755  1947927  2067979  1105556   877797 1947927  1947927
2013-02-20T09:03:00 64       8  727850 1392258  3958892  3791156 3203069 1460430 1638743  2067979  3022727  1484662  1138375 2923952  2561267
2013-02-20T12:03:00 64       8  610350 1780008  3791156  4018152 3057153 1828508 1780008  2052169  2067979  1392258  1421755 1734015  3541098
2013-02-20T15:03:00 64       8  645579 1518251  2801873  1780008 2067979  610350 1255511   752329  1385075  1690338  1183548 2358717  1879725
2013-02-20T18:03:00 64       8  640954 1336792  3057153  3738358 3203069 1421755 2278628  2067979  3057153  1255511  1049372 2067979  3363612
2013-02-20T21:03:00 64       8  703068 1734015  2067979  3363612 3363612 1210227 1304314  1947927  2662899  1518251   913649 1492919  3203069
2013-02-21T00:03:00 64       8  603489 1204796  1879725  1690338 3057153 1232453 1991276  2203800  3057153  1892980   955947 1310683  3022727
2013-02-21T03:03:00 64       8  587635  942521  1279447  4018152 3203069 1357066 1933893  2052169  2892445   342477  1119387 2203800  1722886
2013-02-21T06:03:00 64       8  474430  842003  2006158  1599680  929467 1452528 1101022   789967  2662899  1143223   587635 1492919  2444640
2013-02-21T09:03:00 64       8  727850 1363961  3958892  3958892 3022727 1421755 2358717  2133730  3057153  1526887   789967 2006158  3791156
2013-02-21T12:03:00 64       8  720041 1879725   821391  4274062 3363612 1330167 1828508  2067979  2662899  1330167  1304314 2537060  3958892
2013-02-21T15:04:00 64       8  633392 1780008  3541098  4018152 3057153 1879725 1392258  2052169  3165299  1492919  1492919 3203069  2561267
2013-02-21T18:04:00 64       8  743988 1188789  1210227  2561267 2923952 1255511 1599680  1562436  2379626  1336792  1083249 2467108  1768283
2013-02-21T21:03:00 64       8  673098 1304314  3588436  2067979 3203069 1392258 1879725  2067979  2358717  1452528  1392258 2561267   942521
2013-02-22T00:04:00 64       8  647135 1599680  2379626  2006158 3203069 1357066 1933893  2067979  2561267  1336792  1722886 3363612  1599680
2013-02-22T03:04:00 64       8  712397 1066042  3363612  3958892 3203069 1933893 2006158   743988  2892445  1392258  1421755 2662899  3363612
2013-02-22T06:03:00 64       8  695778 1045286  2444640  2358717 3203069 1279447 2133730  2006158  3203069  1421755  1460430 1933893  1892980
2013-02-22T09:03:00 64       8  557144  780776  2133730  2662899 2892445 1638743 1599680  2133730  2298136  1255511   484710  855419  1599680
2013-02-22T12:04:00 64       8  681644 1526887  3541098  3363612 3203069 1933893 1947927  2278628  3203069   969761  1452528 2892445  3541098
2013-02-22T15:03:00 64       8  512471  693980  1066042  3541098 3203069 1066042 1780008  2067979  2561267  1210227  1452528 3203069  3791156
2013-02-22T18:03:00 64       8  718114 1363961  4018152  2923952 3203069 1285575 1722886  1429325  3203069  1385075  1363961 2561267  3541098
2013-02-22T21:03:00 64       8  673098 1421755   608965  3203069 3057153 1734015 2006158  2133730  3022727  1828508  1780008 2006158  1562436
2013-02-23T00:03:00 64       8  645579 1330167  3541098  3541098 3203069 1421755 2133730  1768283  2923952  1452528  1392258 3203069  3738358
2013-02-23T03:03:00 64       8  688639 1363961  3363612  3958892 3203069 1304314 2278628  2203800  2892445  1553394  1879725 3363612  3541098
2013-02-23T06:04:00 64       8  703068  969761  2923952  3165299 3057153 1279447 2133730  2067979  3022727  1392258  1163036 3057153  3791156
2013-02-23T09:03:00 64       8  571375 1210227  3541098  4018152 3203069 1363961 1690338  2133730  2662899  1363961  1029254 1734015  3541098
2013-02-23T12:04:00 64       8  576282 1066042  2133730  2278628  929467  528618 1330167  1933893  2801873  1336792   952555 1879725  1892980
2013-02-23T15:04:00 64       8  712397  474430  3791156  3738358 2772930 1933893 2278628   780776  2561267  1049372   889431 2052169  3791156
2013-02-23T18:04:00 64       8  666414 1421755  2923952  3791156 3203069 1768283 2298136  2203800  2358717  1452528  1163036 1780008  3541098
2013-02-23T21:04:00 64       8  598110 1526887  3541098  2298136 3203069 1310683 2203800  2133730  2923952  1226821  1330167 2772930  3541098
2013-02-24T00:04:00 64       8  586352 1017549  3541098  3791156 3022727 1421755 1933893  2052169  3057153  1492919  1183548 2561267  3363612
2013-02-24T03:04:00 64       8  720041 1002351  4274062  3588436 2923952 1828508 1879725  2067979  2892445   987600  1421755 2892445  3541098
2013-02-24T06:04:00 64       8  645579 1124074  3363612  3791156 3203069 1304314 1879725  2203800  3022727  1363961  1421755 3022727  3791156
2013-02-24T09:04:00 64       8  639427 1279447  3738358  4274062 3203069 1421755 2379626  2133730  3022727  1421755  1392258 2561267  4018152
2013-02-24T12:04:00 64       8  681644  998622  3203069  2561267 3203069 1249666 2278628  1828508  2801873  1780008   969761 2067979  1828508
2013-02-24T15:03:00 64       8  320021 1279447  3541098  3588436 2203800 1421755 2067979  2067979  3057153  1363961  1119387 1828508  1163036
2013-02-24T18:03:00 64       8  410573 1768283  3791156  3791156 2772930 1841049 1828508  1933893  3057153  1304314  1183548 2662899  3406295
2013-02-24T21:04:00 64       8  727850 1363961  4274062  3958892 3203069 1421755 2203800  2006158  2278628  1385075  1452528 2923952  3791156
2013-02-25T00:03:00 64       8  546928 1734015  3791156  3738358 3057153 1947927 2278628  1991276  2892445  1421755  1255511 2923952  2444640
2013-02-25T03:03:00 64       8  695778 1780008  4018152  2358717 2298136 1210227 1991276  2067979  2801873  1363961  1232453 2278628  1526887
2013-02-25T06:03:00 64       8  557144  939223  3541098  1083249 3057153  561808 1768283  2203800  3057153  1879725   955947 2801873  3738358
2013-02-25T09:03:00 64       8  529661 1210227  3791156  4018152 3203069 1421755 2298136  2006158  2772930  1484662  1452528 3022727  3203069
2013-02-25T12:04:00 64       8  695778  679917  3363612  3791156 2923952 1599680 2222043  2133730  2662899  1484662  1049372 2923952  3738358
